iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,Unnamed: 67
CHL,South America,Chile,2020-01-05,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,92.9,4.6,4.6,4.81,
CHL,South America,Chile,2020-01-06,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-07,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-08,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-09,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,213.0,5.39,6.22,11.04,
CHL,South America,Chile,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,287.6,4.85,3.77,14.9,
CHL,South America,Chile,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,253.5,3.2,-1.71,13.13,
CHL,South America,Chile,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,219.6,2.21,-1.69,11.38,
CHL,South America,Chile,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,286.0,2.41,3.45,14.82,
CHL,South America,Chile,2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,272.6,1.98,-0.7,14.12,
CHL,South America,Chile,2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,204.0,1.3,-3.48,10.57,
CHL,South America,Chile,2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-01,1.0,1.0,0.14,0.0,0.0,0.0,0.05,0.05,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,217.4,1.23,0.72,11.26,
CHL,South America,Chile,2020-03-02,1.0,0.0,0.14,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-03,1.0,0.0,0.14,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-04,1.0,0.0,0.14,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-05,1.0,0.0,0.14,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-06,1.0,0.0,0.14,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-07,1.0,0.0,0.14,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-08,7.0,6.0,0.86,0.0,0.0,0.0,0.36,0.31,0.04,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,225.0,1.15,0.4,11.66,
CHL,South America,Chile,2020-03-09,7.0,0.0,0.86,0.0,0.0,0.0,0.36,0.0,0.04,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-10,7.0,0.0,0.86,0.0,0.0,0.0,0.36,0.0,0.04,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-11,7.0,0.0,0.86,0.0,0.0,0.0,0.36,0.0,0.04,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-12,7.0,0.0,0.86,0.0,0.0,0.0,0.36,0.0,0.04,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-13,7.0,0.0,0.86,0.0,0.0,0.0,0.36,0.0,0.04,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-14,7.0,0.0,0.86,0.0,0.0,0.0,0.36,0.0,0.04,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-15,61.0,54.0,7.71,0.0,0.0,0.0,3.12,2.76,0.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,268.6,1.26,2.31,13.92,
CHL,South America,Chile,2020-03-16,61.0,0.0,7.71,0.0,0.0,0.0,3.12,0.0,0.4,0.0,0.0,0.0,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-17,61.0,0.0,7.71,0.0,0.0,0.0,3.12,0.0,0.4,0.0,0.0,0.0,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-18,61.0,0.0,7.71,0.0,0.0,0.0,3.12,0.0,0.4,0.0,0.0,0.0,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.33,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-19,61.0,0.0,7.71,0.0,0.0,0.0,3.12,0.0,0.4,0.0,0.0,0.0,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.33,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-20,61.0,0.0,7.71,0.0,0.0,0.0,3.12,0.0,0.4,0.0,0.0,0.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.33,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-21,61.0,0.0,7.71,0.0,0.0,0.0,3.12,0.0,0.4,0.0,0.0,0.0,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
CHL,South America,Chile,2020-03-22,537.0,476.0,68.0,0.0,0.0,0.0,27.46,24.34,3.48,0.0,0.0,0.0,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,382.5,1.64,6.01,19.82,
CHL,South America,Chile,2020-03-23,537.0,0.0,68.0,0.0,0.0,0.0,27.46,0.0,3.48,0.0,0.0,0.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736.0,,,,,
