iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,Unnamed: 67
KHM,Asia,Cambodia,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-02,1.0,1.0,0.14,0.0,0.0,0.0,0.06,0.06,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-03,1.0,0.0,0.14,0.0,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-04,1.0,0.0,0.14,0.0,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-05,1.0,0.0,0.14,0.0,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-06,1.0,0.0,0.14,0.0,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-07,1.0,0.0,0.14,0.0,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-08,1.0,0.0,0.14,0.0,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-09,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-10,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-11,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-12,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-13,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-14,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-15,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-16,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-17,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-18,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-19,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-20,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-21,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-22,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-23,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-24,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-25,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-26,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-27,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-28,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-02-29,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-02,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-03,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-04,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-05,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-06,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-07,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-08,2.0,1.0,0.14,0.0,0.0,0.0,0.12,0.06,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-09,2.0,0.0,0.14,0.0,0.0,0.0,0.12,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-10,2.0,0.0,0.14,0.0,0.0,0.0,0.12,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-11,2.0,0.0,0.14,0.0,0.0,0.0,0.12,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-12,2.0,0.0,0.14,0.0,0.0,0.0,0.12,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-13,2.0,0.0,0.14,0.0,0.0,0.0,0.12,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-14,2.0,0.0,0.14,0.0,0.0,0.0,0.12,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-15,7.0,5.0,0.71,0.0,0.0,0.0,0.41,0.29,0.04,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-16,7.0,0.0,0.71,0.0,0.0,0.0,0.41,0.0,0.04,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-17,7.0,0.0,0.71,0.0,0.0,0.0,0.41,0.0,0.04,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-18,7.0,0.0,0.71,0.0,0.0,0.0,0.41,0.0,0.04,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
KHM,Asia,Cambodia,2020-03-19,7.0,0.0,0.71,0.0,0.0,0.0,0.41,0.0,0.04,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,90.67,25.6,4.41,2.38,3645.07,,270.89,4.0,2.0,33.7,66.23,0.8,69.82,0.59,16767851.0,,,,,
